F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
3.2,-4.91,-41.64,-21.63,8.41,2,5.42,-84.01,-9.4,76.72,-0.42,36,0.33,30.6,,False
3.98,-5.25,-47.64,-23.43,8.66,2,4.32,-83.01,-11.16,2.72,0.5,111,0.84,39.42,9.26,True
12.6,0.41,-50.64,-15.51,16.34,20,-4,25.99,-15.08,450.72,-3.6,525,5.1,21.78,,False
14.7,1.09,-50.64,-4.74,15.09,20,-8.16,10.99,-13.12,190.72,-5.71,660,7.25,15.78,6.57,False
2.74,-3.86,-35.64,-23.91,8.67,2,2.8,-53.01,-19.22,24.72,0.59,33,0.85,25.08,,True
0.64,-3.71,-47.64,-18.99,8.61,2,0.94,-71.01,-10.88,50.72,-0.06,132,0.56,26.22,8.43,True
11,-0.36,-110.64,-4.08,13.19,20,-6.32,-99.01,-9.94,-9.28,-5.31,975,9.25,10.89,8.92,True
13.6,-1.86,-80.64,-14.85,12.69,20,0.08,0.99,-12.34,350.72,0.95,420,5.6,19.17,,False
2.08,-5.17,-35.64,-24.99,8.61,2,1.36,-66.01,-11.74,20.72,3.26,21,0.56,26.82,,True
15.9,0.16,-80.64,-14.1,13.64,20,-7,-4.01,-9.52,110.72,-5.21,570,8.7,13.32,,False
17.6,-1.03,-110.64,-14.07,13.59,20,-4.76,-144.01,-8.4,410.72,-3.46,330,6.2,16.41,,False
0.72,-4.5,-41.64,-28.98,8.9,2,1.08,-77.01,-10.06,-3.28,-0.93,21,0.23,29.52,7.81,True
2.34,-4.72,-41.64,-34.29,8.17,2,1.02,-88.01,-10.8,-3.28,-0.39,66,0.61,32.88,,False
1.62,-3.82,-47.64,-24,8.5,2,3.38,-87.01,-10.44,-3.28,-0.29,36,0.32,27.12,9.23,True
17.5,0.36,-110.64,-7.23,15.79,20,-5.02,-79.01,-7.48,420.72,-2.74,765,5.4,15.39,,False
20.5,0.06,-80.64,-6.36,15.79,20,-9,-19.01,-10.42,460.72,-4.32,960,10.05,19.35,8.52,True
3.8,-3.88,-47.64,-23.16,8.54,2,3.74,-79.01,-10.42,-9.28,0.18,39,0.12,28.35,,True
29.7,-2.88,-50.64,-16.89,13.24,20,-2.38,-34.01,-7.72,400.72,-1.38,120,6.5,21.48,7.93,False
3.28,-6.35,-47.64,-18.03,8.63,2,4.54,-82.01,-11.62,4.72,-0.62,108,0.26,40.5,,True
1.1,-4.32,-41.64,-17.64,8.8,2,0.52,-72.01,-11.86,2.72,-0.83,165,0.51,28.23,,True
2.84,-4.11,-41.64,-25.89,8.2,2,1.46,-70.01,-10.6,30.72,2.54,72,0.32,32.28,,False
19.3,0.38,-80.64,-8.55,14.94,20,-8.14,15.99,-13.7,230.72,-4.86,45,7.4,12.15,,True
19.1,0.2,-80.64,-6.87,14.34,20,-3.04,-34.01,-7.7,280.72,-4.8,90,6.5,14.64,7.1,False
2.28,-4.28,-47.64,-23.43,8.45,2,2.14,-88.01,-9.52,26.72,-0.74,24,0.3,29.85,,True
1.72,-7.67,-41.64,-18.36,8.7,2,3.9,-64.01,-15.42,30.72,0.82,6,0.48,32.76,8.55,True
17.8,-5.12,-110.64,-9.21,15.04,20,-6.64,-104.01,-9.02,440.72,-4.41,180,6.15,13.92,,False
2.6,-5.71,-35.64,-18.48,8.64,2,0.98,-61.01,-10.04,46.72,-0.75,6,0.21,35.1,,False
0.38,-3.78,-41.64,-19.29,8.76,2,3.5,-67.01,-11.12,24.72,-0.78,6,0.43,39.36,,True
22.9,-0.6,-50.64,-6.75,14.64,20,-5.72,-14.01,-10.02,450.72,-1.02,135,7.95,14.58,7.09,False
15.6,-1.02,-80.64,-12.18,13.14,20,-4.44,-99.01,-9.48,330.72,-2.9,345,6.7,23.34,,False
11.1,0.37,-80.64,-3.15,16.29,20,-7.76,-89.01,-12.2,290.72,-5.93,1005,8.25,11.52,7.69,True
21.3,-3.93,-50.64,-8.46,14.59,20,-3.88,-39.01,-7.28,390.72,-4.28,150,5.35,25.17,7.03,False
