F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
UK,258.63,-162.72,-2229.84,31489.95,2.52,192.26,-11.99,12,Very low,280.78,11.44,-4.77,52.05,171.46,6,0
Europe,1033.35,-105.16,-2786.58,24534.99,7.18,46.52,-10.66,15,Very high,0.02,7.78,-6.82,26.49,119.34,4,1073.28
UK,-1207.47,-112.02,-3162.63,23017.47,3.85,71.06,-4.24,24,Medium,16.32,8.14,-0.91,26.97,15.96,7,1203.67
USA,-1090.17,-99.53,-3784.14,25597.56,1.18,-8.54,-4.7,18,High,1.08,2.28,-8.12,35.34,176.32,1,789.66
Europe,-2191.02,-69.12,-2956.14,24770.94,6.22,55.22,-7.82,9,Low,134.62,13.82,-5.92,31.47,117.94,4,2093.67
Europe,-880.41,-67.5,-2494.44,10709.16,0.89,5.04,-1.16,9,High,0.02,5.72,-2.03,15.42,190.98,4,1051.99
Europe,-854.61,-64.99,-3132.69,26382.36,1.64,70.96,-8.4,12,High,1.94,3.42,-0.13,27.48,256.64,3,353.38
USA,-769.95,-98.78,-2956.32,22683.9,3.57,65.66,-2.31,6,High,9.74,2.16,2.08,28.89,138.8,2,780.56
Rest,535.77,-86.65,-1614.3,1908.63,3.57,78.5,-5.69,15,High,0.06,3.94,-1.47,10.26,283.3,5,0
Europe,83.34,-99.36,-2786.58,13309.5,3.36,163.92,-9.78,9,Very low,0,1.72,-4.19,17.79,90.18,4,0
Europe,457.11,-79.3,-3173.04,33828.63,3.53,-24.36,-8.65,12,High,0.04,6.08,-3.96,32.16,195.98,3,1219.22
Europe,-2153.52,-46.38,-4462.17,25673.22,5.77,57.78,-5.49,15,Low,40.14,10.28,-4.16,47.25,184.2,4,2039.19
UK,-1299.3,-136.18,-3117.18,40024.89,3.11,-12.42,-12.96,9,Low,18.74,13.12,-7.95,26.82,99.62,1,2379.75
Rest,1067.49,-138.04,-3347.28,23384.88,8.88,63.38,-6.01,9,Low,84.08,6.64,-0.35,61.02,-1.78,3,396.84
